copy pasted from enginesdatabase

(Launcher for game engines?)

285 Game Engines (3D engines)
285 Game Engines registered in the website

Minimum requirements
	Engine name
	Icon image
	Platform names
	first version release date

Sort by
	Alphabetical
	Newest version date
	Downloads, visits etc(?)
Search
	Input field
Filters
	Price model
	Platforms (Windows, PlayStation, Web, Android etc)
	Programming languages
	Software license

Extras
	Description

MiniGL 	✅ 	✅ 	✅
modd.io 	✅ 	✅ 	✅
MonoGame 	✅ 	✅ 	✅
MSXgl 	❌ 	✅ 	✅
Murder Engine 	✅ 	✅ 	✅
Narrat Engine 	✅ 	✅ 	✅
Nazara Engine 	❌ 	❌ 	✅
NcEngine 	✅ 	✅ 	❌
nCine 	✅ 	✅ 	✅
nebula 	❌ 	❌ 	❌
NeoAxis 	✅ 	✅ 	✅
NES Maker 	❌ 	❌ 	❌
NESkit 	❌ 	✅ 	✅
Next2D 	✅ 	✅ 	❌
Nu 	❌ 	❌ 	✅
O3DE 	✅ 	✅ 	✅
Octo 	❌ 	✅ 	❌
OGRE3D 	✅ 	✅ 	✅
openFrameworks 	✅ 	✅ 	✅
openspace3D 	❌ 	✅ 	✅
ORX 	❌ 	✅ 	✅
Overload 	✅ 	✅ 	✅
Oxygengine 	❌ 	✅ 	✅
p5play 	✅ 	✅ 	✅
Panda3D 	✅ 	✅ 	✅
Phaser 	✅ 	✅ 	✅
PICO-8 	✅ 	✅ 	❌
Pine 	✅ 	✅ 	✅
Pixel 	❌ 	✅ 	✅
Pixel Game Maker MV 	❌ 	✅ 	❌
Pixelbox.js 	✅ 	✅ 	✅
PixiJS 	✅ 	✅ 	✅
Pixi’VN 	✅ 	✅ 	✅
Planimeter 	❌ 	❌ 	✅
PlayCanvas 	✅ 	✅ 	✅
Playscii 	✅ 	✅ 	✅
Polycode 	✅ 	✅ 	✅
Polygonjs 	✅ 	✅ 	✅
Pragma Game Engine 	❌ 	✅ 	✅
Puzzlescript 	❌ 	✅ 	❌
PVSnesLib 	❌ 	✅ 	✅
PX8 	✅ 	✅ 	✅
PyGame 	✅ 	✅ 	✅
Pygame CE 	❌ 	✅ 	✅
pyglet 	✅ 	✅ 	✅
Pyxel 	✅ 	✅ 	✅
QX82 	✅ 	✅ 	❌
R-Cade 	❌ 	✅ 	❌
Range Engine 	✅ 	✅ 	✅
RavEngine 	❌ 	✅ 	❌
RayLib 	✅ 	✅ 	✅
RealityKit 	✅ 	✅ 	❌
Rebel Fork (rbfx) 	❌ 	❌ 	❌
RecoilEngine 	❌ 	✅ 	✅
Redot Engine 	✅ 	✅ 	✅
Ren'Py 	✅ 	✅ 	✅
Rendercore 	❌ 	✅ 	❌
Retro Puzzle Maker 	❌ 	✅ 	✅
Roblox Studio 	❌ 	✅ 	❌
Robust Toolbox 	❌ 	✅ 	✅
Rogue Engine 	✅ 	✅ 	❌
Rootex 	✅ 	✅ 	❌
rot.js 	❌ 	✅ 	✅
RouteVN 	✅ 	✅ 	✅
RPG Architect 	❌ 	✅ 	✅
RPG Developer Bakin 	✅ 	✅ 	✅
Rpg in a Box 	✅ 	✅ 	✅
RPG Maker MZ 	✅ 	✅ 	✅
RPG Paper Maker 	✅ 	✅ 	✅
Ruby2D 	❌ 	✅ 	✅
sbox 	✅ 	✅ 	✅
Scratch 	✅ 	✅ 	❌
SDL Simple DirectMedia Layer 	❌ 	✅ 	✅
seccia.dev 	❌ 	✅ 	❌
SGDK 	❌ 	✅ 	✅
Shape Engine 	❌ 	✅ 	✅
Silk 	✅ 	❌ 	❌
Simple 	❌ 	✅ 	✅
Simple Game Maker 	❌ 	✅ 	✅
SimulationFramework 	❌ 	✅ 	✅
skylicht Engine 	❌ 	❌ 	❌
Snap! 	❌ 	✅ 	✅
SnaX 	✅ 	✅ 	✅
Solar2D 	✅ 	✅ 	✅
Solarus 	✅ 	✅ 	✅
Source Engine 	✅ 	✅ 	✅
Spartan Engine 	✅ 	❌ 	✅
SpriteKit 	✅ 	✅ 	❌
Sritewidget 	❌ 	✅ 	❌
Stencyl 	✅ 	✅ 	✅
Storm Engine 	❌ 	❌ 	✅
Stride 	✅ 	✅ 	✅
SUGAR 	✅ 	❌ 	❌
Sundown 	❌ 	✅ 	✅
Supernova 	✅ 	✅ 	✅
Superpowers 	✅ 	✅ 	✅
Surge Engine 	❌ 	✅ 	✅
T-Engine4 	❌ 	✅ 	❌
Taylor 	✅ 	✅ 	✅
Tetra 	❌ 	❌ 	✅
The Mirror 	✅ 	✅ 	✅
The Sandbox 	❌ 	❌ 	❌
Three.js 	❌ 	✅ 	✅
Thunder 	❌ 	❌ 	✅
TIC-80 	✅ 	✅ 	✅
TilBuci 	❌ 	✅ 	✅
Tinychoice 	❌ 	✅ 	❌
Tofu Engine 	✅ 	✅ 	❌
Tomb Engine 	✅ 	✅ 	✅
Torque3d 	✅ 	✅ 	✅
traktor 	❌ 	❌ 	✅
Tramway SDK 	❌ 	✅ 	✅
Trial 	✅ 	✅ 	❌
Turbo Rascal Syntax Error 	❌ 	✅ 	❌
Turbulenz Engine 	❌ 	❌ 	❌
Turso3D 	❌ 	❌ 	❌
Twine 	✅ 	✅ 	✅
Ultra Engine 	❌ 	✅ 	❌
Unbound 	❌ 	❌ 	❌
Unigine 	❌ 	❌ 	✅
Unity 	✅ 	✅ 	✅
Unreal Engine 	✅ 	✅ 	✅
UPBGE 	❌ 	✅ 	✅
Urho3D 	✅ 	✅ 	✅
Ursina Engine 	✅ 	✅ 	✅
USAGI 	❌ 	✅ 	✅
Verge3D 	❌ 	❌ 	✅
Vide 	❌ 	✅ 	❌
Voodoo 	❌ 	✅ 	❌
WASM-4 	✅ 	✅ 	✅
Welder Engine 	❌ 	✅ 	✅
Wick Editor 	✅ 	✅ 	❌
Wicked Engine 	✅ 	✅ 	✅
Wonderland Engine 	✅ 	✅ 	✅
Yahaha 	❌ 	❌ 	❌
Yami RPG Editor 	❌ 	✅ 	❌
ZeroEngine 	❌ 	✅ 	✅
ZGB 	❌ 	✅ 	✅
ÖbEngine 	✅ 	✅ 	✅
